frame,track_id,class_id,confidence,xmin,ymin,xmax,ymax
34,1.0,3,0.8680,681.69,482.88,814.70,762.56
34,2.0,4,0.4736,1831.49,148.23,1919.71,1060.87
34,3.0,4,0.2371,1616.04,502.54,1920.00,1077.80
35,1.0,3,0.8671,682.73,483.50,815.30,762.16
35,2.0,4,0.4733,1831.53,149.02,1919.72,1061.07
35,3.0,4,0.2445,1616.24,503.20,1920.00,1077.80
36,1.0,3,0.8575,683.26,484.99,815.35,762.34
36,2.0,4,0.4728,1831.33,146.75,1919.84,1062.10
36,3.0,4,0.2350,1616.35,502.77,1920.00,1077.77
37,1.0,3,0.8607,683.49,485.49,815.61,762.46
37,2.0,4,0.4715,1831.31,146.81,1919.89,1063.06
37,3.0,4,0.2250,1616.65,503.64,1920.00,1077.71
38,1.0,3,0.8631,683.41,486.00,815.34,762.22
38,2.0,4,0.4764,1831.54,146.94,1919.97,1061.83
38,3.0,4,0.2176,1616.85,506.07,1919.35,1077.72
39,1.0,3,0.8636,683.55,486.10,815.64,762.16
39,2.0,4,0.4735,1831.68,146.13,1920.00,1061.24
39,3.0,4,0.2249,1617.04,507.42,1919.05,1077.72
40,1.0,3,0.8640,683.52,486.30,815.63,762.13
40,2.0,4,0.4737,1831.62,144.43,1920.00,1061.04
40,3.0,4,0.2215,1617.06,507.99,1918.97,1077.70
41,1.0,3,0.8656,682.95,486.04,815.30,762.35
41,2.0,4,0.4772,1831.62,144.72,1919.98,1059.97
41,3.0,4,0.2185,1616.77,507.43,1919.15,1077.77
42,1.0,3,0.8680,682.48,485.75,814.92,762.41
42,2.0,4,0.4798,1831.59,145.05,1919.80,1058.37
42,3.0,4,0.2236,1616.74,507.65,1919.16,1077.74
43,1.0,3,0.8684,682.20,485.10,814.95,762.57
43,2.0,4,0.4758,1831.67,145.85,1919.84,1058.73
43,3.0,4,0.2350,1616.70,507.43,1919.34,1077.72
44,1.0,3,0.8716,681.87,484.70,814.58,762.46
44,2.0,4,0.4804,1831.67,146.40,1919.75,1057.97
44,3.0,4,0.2354,1616.83,507.34,1919.56,1077.71
45,1.0,3,0.8727,681.26,483.70,814.09,762.18
45,2.0,4,0.4785,1831.71,147.38,1919.79,1058.75
45,3.0,4,0.2300,1616.78,507.51,1919.53,1077.76
46,1.0,3,0.8744,680.54,482.77,813.46,762.10
46,2.0,4,0.4831,1831.65,147.39,1919.77,1058.98
46,3.0,4,0.2393,1616.69,507.40,1919.57,1077.77
47,1.0,3,0.8770,680.00,482.37,812.64,761.66
47,2.0,4,0.4857,1831.49,146.66,1919.69,1058.55
47,3.0,4,0.2319,1616.58,506.67,1919.83,1077.74
48,1.0,3,0.8791,679.74,482.50,811.82,761.10
48,2.0,4,0.4879,1831.40,146.55,1919.64,1058.27
48,3.0,4,0.2396,1616.66,506.84,1919.82,1077.68
49,1.0,3,0.8768,679.45,482.11,811.59,761.25
49,2.0,4,0.4817,1831.44,147.75,1919.71,1059.58
49,3.0,4,0.2417,1616.69,507.00,1919.80,1077.69
50,1.0,3,0.8739,679.10,481.10,811.66,761.76
50,2.0,4,0.4834,1831.52,149.23,1919.64,1058.77
50,3.0,4,0.2431,1616.38,506.21,1919.92,1077.75
51,1.0,3,0.8750,678.82,480.30,811.74,762.47
51,2.0,4,0.4858,1831.51,149.30,1919.61,1058.02
51,3.0,4,0.2487,1616.36,506.08,1919.95,1077.74
52,1.0,3,0.8750,678.67,479.94,811.52,762.66
52,2.0,4,0.4832,1831.36,149.23,1919.61,1059.01
52,3.0,4,0.2505,1616.45,506.38,1919.91,1077.76
53,1.0,3,0.8755,678.63,479.71,811.39,762.93
53,2.0,4,0.4830,1831.39,150.40,1919.55,1058.33
53,3.0,4,0.2478,1616.52,506.67,1919.85,1077.76
54,1.0,3,0.8736,678.94,479.70,811.61,763.10
54,2.0,4,0.4830,1831.27,150.43,1919.55,1058.92
54,3.0,4,0.2513,1616.54,506.28,1920.00,1077.69
55,1.0,3,0.8719,679.09,479.25,811.99,763.46
55,2.0,4,0.4834,1831.26,149.98,1919.62,1058.82
55,3.0,4,0.2409,1616.52,506.84,1919.80,1077.78
56,1.0,3,0.8728,679.06,478.98,811.91,763.46
56,2.0,4,0.4781,1831.19,148.33,1919.74,1058.97
56,3.0,4,0.2354,1616.28,506.06,1919.95,1077.79
57,1.0,3,0.8728,679.36,478.77,812.24,763.53
57,2.0,4,0.4718,1831.20,148.24,1919.77,1059.00
57,3.0,4,0.2524,1616.28,505.53,1920.00,1077.80
58,1.0,3,0.8722,679.60,478.56,812.62,763.54
58,2.0,4,0.4695,1831.18,147.86,1919.88,1060.11
58,3.0,4,0.2470,1616.34,506.64,1919.73,1077.79
59,1.0,3,0.8742,679.42,477.91,812.68,763.61
59,2.0,4,0.4726,1831.31,148.43,1919.97,1060.49
59,3.0,4,0.2400,1616.25,506.83,1919.64,1077.83
60,1.0,3,0.8715,679.79,477.10,813.48,763.65
60,2.0,4,0.4701,1831.45,149.04,1920.00,1061.02
60,3.0,4,0.2372,1616.28,506.69,1919.75,1077.79
61,1.0,3,0.8699,680.31,476.35,814.35,763.32
61,2.0,4,0.4675,1831.47,148.48,1920.00,1061.32
61,3.0,4,0.2538,1616.28,506.85,1919.72,1077.81
62,1.0,3,0.8653,679.99,475.26,814.36,762.81
62,2.0,4,0.4717,1831.36,147.43,1920.00,1061.79
62,3.0,4,0.2414,1616.15,506.80,1919.68,1077.81
63,1.0,3,0.8599,678.41,473.58,813.57,763.15
63,2.0,4,0.4658,1831.29,146.50,1920.00,1062.31
63,3.0,4,0.2553,1616.28,507.28,1919.64,1077.82
64,1.0,3,0.8601,677.89,472.92,813.25,763.26
64,2.0,4,0.4715,1831.32,146.12,1920.00,1061.78
64,3.0,4,0.2514,1616.34,507.38,1919.68,1077.80
65,1.0,3,0.8595,677.76,472.46,813.30,763.23
65,2.0,4,0.4779,1831.03,144.13,1919.93,1061.24
65,3.0,4,0.2449,1616.28,506.87,1919.90,1077.84
66,1.0,3,0.8667,678.33,471.78,813.97,762.91
66,2.0,4,0.4721,1830.93,141.48,1919.94,1059.84
66,3.0,4,0.2397,1615.89,505.71,1920.00,1077.87
67,1.0,3,0.8758,678.61,470.69,814.59,762.64
67,2.0,4,0.4702,1830.89,140.69,1919.96,1059.95
67,3.0,4,0.2359,1615.70,505.10,1920.00,1077.87
68,1.0,3,0.8807,679.09,470.27,815.23,762.41
68,2.0,4,0.4722,1831.06,141.65,1919.94,1059.16
68,3.0,4,0.2400,1615.70,505.05,1920.00,1077.87
69,1.0,3,0.8794,678.94,469.26,815.70,762.66
69,2.0,4,0.4766,1831.11,143.34,1919.81,1058.61
69,3.0,4,0.2439,1615.58,504.41,1920.00,1077.87
70,1.0,3,0.8789,679.09,468.68,816.03,762.56
70,2.0,4,0.4720,1831.13,143.74,1919.72,1057.57
70,3.0,4,0.2357,1615.36,503.45,1920.00,1077.86
71,1.0,3,0.8795,679.38,468.40,816.08,761.93
71,2.0,4,0.4695,1831.09,143.25,1919.75,1057.70
71,3.0,4,0.2282,1615.47,503.66,1920.00,1077.78
72,1.0,3,0.8823,680.16,468.02,816.97,761.56
72,2.0,4,0.4703,1831.19,144.09,1919.75,1057.17
72,3.0,4,0.2290,1615.52,504.13,1920.00,1077.77
73,1.0,3,0.8789,680.43,467.68,818.05,762.39
73,2.0,4,0.4734,1831.34,145.22,1919.76,1056.83
73,3.0,4,0.2354,1615.62,504.44,1920.00,1077.82
74,1.0,3,0.8681,680.61,467.24,818.51,762.47
74,2.0,4,0.4759,1831.37,144.24,1919.85,1056.44
74,3.0,4,0.2218,1615.30,503.55,1920.00,1077.80
75,1.0,3,0.8609,680.53,467.22,818.37,762.60
75,2.0,4,0.4688,1831.33,143.98,1919.90,1057.24
75,3.0,4,0.2231,1615.17,502.85,1920.00,1077.77
75,7.0,0,0.3954,755.10,503.15,813.35,542.08
76,1.0,3,0.8589,681.11,467.58,818.20,761.33
76,2.0,4,0.4693,1831.48,144.73,1919.92,1056.77
76,3.0,4,0.2302,1615.08,502.37,1920.00,1077.74
76,7.0,0,0.4462,752.91,498.74,813.37,539.25
77,1.0,3,0.8570,680.68,467.98,817.79,761.58
77,2.0,4,0.4742,1831.45,142.85,1920.00,1057.46
77,3.0,4,0.2138,1615.28,503.73,1919.89,1077.76
77,7.0,0,0.4006,748.93,493.30,811.49,535.39
78,1.0,3,0.7627,681.99,467.85,821.25,764.21
78,2.0,4,0.4756,1831.44,141.56,1920.00,1057.19
78,3.0,4,0.2096,1615.43,504.32,1919.75,1077.71
78,7.0,0,0.2784,743.14,489.04,806.31,531.53
79,1.0,3,0.7101,682.89,469.81,822.70,765.09
79,2.0,4,0.4780,1831.28,139.70,1920.00,1057.48
79,3.0,4,0.1842,1615.24,504.30,1919.65,1077.77
79,7.0,0,0.1308,737.76,484.21,802.91,527.90
80,1.0,3,0.7223,682.92,471.30,823.21,765.55
80,2.0,4,0.4825,1831.05,139.20,1919.99,1058.27
80,3.0,4,0.1924,1615.28,504.49,1919.64,1077.75
